symbol,date,open_price,high_price,low_price,close_price,volume,adjusted_close,price_range,price_change,price_change_pct,volume_millions,price_volatility,price_momentum,price_gap,volume_normalized,volume_log,volume_price_ratio,price_volume_trend,day_of_week,is_monday,is_friday
T,2025-07-14,27.02,27.51,27.02,27.16,30747000,,0.490000000000002,0.14000000000000057,0.5181347150259088,30.747,0.01813471502590681,0.5181347150259088,,4.561937120728794,17.241303019005308,1132.0692194403534,8.933317626427657,0,1,0
TSLA,2025-07-14,317.73,322.6,312.67,316.9,78043400,,9.930000000000007,-0.8300000000000409,-0.261228086740327,78.0434,0.03125295061844965,-0.261228086740327,,11.579311265745783,18.172775652984868,246.2713789839066,-4.7472394145904335,0,1,0
UPS,2025-07-14,99.1279,99.2065,97.7244,98.2643,4030600,,1.4821000000000026,-0.863599999999991,-0.8711977152749035,4.0306,0.01495139108162286,-0.8711977152749035,,0.5980207421475096,15.209426054317515,41.01794853268176,-13.25041722916401,0,1,0
WMT,2025-07-14,94.2898,95.6167,94.1601,95.5568,13779100,,1.4565999999999946,1.266999999999996,1.3437296505030192,13.7791,0.015448118460321207,1.3437296505030192,,2.044407187050253,16.438663581944095,144.19800579341293,22.08911966970245,0,1,0
XOM,2025-07-14,114.1676,114.1676,112.1762,112.8697,13220300,,1.9913999999999987,-1.2978999999999985,-1.1368374214750934,13.2203,0.017442777110143325,-1.1368374214750934,,1.961497945073369,16.39726416066114,117.12886629449712,-18.641023507651973,0,1,0
AAPL,2025-07-11,210.3313,211.8895,209.6221,210.9206,39765800,,2.267400000000009,0.5893000000000086,0.280177034991943,39.7658,0.010780135909396315,0.280177034991943,,5.900057864360005,17.498517829512632,188.53445324923217,4.9026828422265,4,0,1
ABBV,2025-07-11,192.2297,192.3388,189.5231,190.802,4991000,,2.8156999999999925,-1.4277000000000157,-0.7427052115255944,4.991,0.014647580472736484,-0.7427052115255944,,0.7405154379145091,15.423147048812375,26.15800672948921,-11.454851691278542,4,0,1
AMGN,2025-07-11,295.8302,297.4966,291.6342,292.894,1619800,,5.86239999999998,-2.9361999999999853,-0.9925288222770987,1.6198,0.0198167732706126,-0.9925288222770987,,0.2403299752221843,14.297813860157003,5.530328378184599,-14.190992351758808,4,0,1
AMT,2025-07-11,220.08,221.41,217.51,219.24,1358500,,3.9000000000000057,-0.8400000000000034,-0.3816793893129786,1.3585,0.017720828789531105,-0.3816793893129786,,0.20156085401860563,14.121892443954268,6.196405765371282,-5.390035283952032,4,0,1
AMZN,2025-07-11,223.58,226.68,222.37,225.02,50518300,,4.310000000000002,1.4399999999999977,0.6440647642901859,50.5183,0.019277216208963242,0.6440647642901859,,7.495407943738038,17.737846224635607,224.50582170473734,11.424321747685497,4,0,1
BAC,2025-07-11,46.64,46.81,46.25,46.73,31653000,,0.5600000000000023,0.0899999999999963,0.1929674099485341,31.653,0.012006861063464885,0.1929674099485341,,4.696360480125818,17.27034352038492,677.3592980954419,3.332613458050126,4,0,1
BLK,2025-07-11,1099.61,1103.4399,1091.8199,1101.64,545400,,11.620000000000118,2.0300000000002,0.18461090750358766,0.5454,0.010567382981238911,0.18461090750358766,,0.08092108191516195,13.209276582908629,0.49508006245234376,2.4385765374366515,4,0,1
CAT,2025-07-11,403.9702,405.3949,400.2338,404.4384,2072600,,5.161100000000033,0.4682000000000244,0.11589963814163134,2.0726,0.012775942383868992,0.11589963814163134,,0.3075119808899242,14.544314898217904,5.12463702754239,1.6856808337213927,4,0,1
CMCSA,2025-07-11,35.24,35.35,34.96,34.99,16864400,,0.39000000000000057,-0.25,-0.7094211123723042,16.8644,0.01106696935300796,-0.7094211123723042,,2.502173622754047,16.640715508503522,481.97770791654756,-11.805274906713622,4,0,1
COP,2025-07-11,93.9252,95.403,93.8855,94.8277,4903400,,1.5175000000000125,0.9024999999999892,0.9608709909587515,4.9034,0.01615647344908515,0.9608709909587515,,0.7275182124363863,15.405439603950251,51.7085197679581,14.802640018402874,4,0,1
COST,2025-07-11,971.9435,977.6256,964.364,968.9876,1942000,,13.26159999999993,-2.9558999999999287,-0.3041226161808715,1.942,0.013644414515864277,-0.3041226161808715,,0.28813483879582785,14.479229442766334,2.004153613524053,-4.4034611384171995,4,0,1
CRM,2025-07-11,262.58,262.95,257.26,258.07,7011200,,5.689999999999998,-4.509999999999991,-1.7175717876456664,7.0112,0.021669586411760217,-1.7175717876456664,,1.0402528227421772,15.763019571012212,27.16782268376797,-27.07411770327707,4,0,1
CVX,2025-07-11,152.5913,154.1737,151.8793,153.6001,8333200,,2.294399999999996,1.008800000000008,0.6611123963161779,8.3332,0.01503624387497843,0.6611123963161779,,1.2363981661448984,15.935758214038277,54.252568845983824,10.53532729999806,4,0,1
DD,2025-07-11,75.41,75.9,74.48,75.49,1850900,,1.4200000000000017,0.0799999999999983,0.10608672589841969,1.8509,0.018830393846969922,0.10608672589841969,,0.27461831777919554,14.431183105522365,24.518479268777323,1.530956966505456,4,0,1
DE,2025-07-11,514.2,515.88,509.66,512.41,1046900,,6.21999999999997,-1.7900000000000773,-0.3481135744846513,1.0469,0.01209646052119792,-0.3481135744846513,,0.1553287140758765,13.86134492950806,2.0430904939403995,-4.825322330575748,4,0,1
DUK,2025-07-11,116.721,116.8399,115.5907,116.4533,2098900,,1.2492000000000019,-0.26770000000000493,-0.22935033113150585,2.0989,0.010702444290230565,-0.22935033113150585,,0.31141411593643825,14.556924432373634,18.023533897278995,-3.3386354388212007,4,0,1
ECL,2025-07-11,264.65,267.96,264.23,266.96,966300,,3.7299999999999613,2.3100000000000023,0.8728509351974315,0.9663,0.01409408652937828,0.8728509351974315,,0.1433700796747726,13.781230658862162,3.6196433922685047,12.028960068759353,4,0,1
EOG,2025-07-11,120.8599,122.5559,120.116,122.0302,2215900,,2.4398999999999944,1.1702999999999975,0.96831124301774,2.2159,0.02018783732238728,0.96831124301774,,0.3287734239380406,14.611169650761097,18.158619751504137,14.148159846471556,4,0,1
GE,2025-07-11,251.5,256.88,251.4,255.42,7867200,,5.47999999999999,3.9199999999999875,1.558648111332003,7.8672,0.021789264413518847,1.558648111332003,,1.1672576744462084,15.87821290274983,30.801033591731265,24.748546552198462,4,0,1
GOOGL,2025-07-11,176.79,181.43,176.48,180.19,34282900,,4.950000000000017,3.4000000000000057,1.923185700548677,34.2829,0.027999321228576374,1.923185700548677,,5.086559147761836,17.35015727471766,190.25972584494144,33.367574373007606,4,0,1
GS,2025-07-11,703.59,706.0,700.23,704.95,1681800,,5.769999999999982,1.3600000000000136,0.19329439019883932,1.6818,0.008200798760641824,0.19329439019883932,,0.249528924761495,14.335375800981781,2.385701113554153,2.7709477237219713,4,0,1
HD,2025-07-11,370.36,371.8,367.11,370.07,3068900,,4.689999999999998,-0.29000000000002046,-0.07830219246139444,3.0689,0.012663354573928063,-0.07830219246139444,,0.45533316518049227,14.936830075017054,8.29275542464939,-1.1695865432971302,4,0,1
HON,2025-07-11,233.1563,234.8276,232.7882,234.7082,2417200,,2.0394000000000005,1.5519000000000176,0.6656050040252044,2.4172,0.008746922129061066,0.6656050040252044,,0.35864033591002836,14.698120817171258,10.298745420909878,9.783142765676216,4,0,1
JNJ,2025-07-11,155.9453,156.0347,154.0493,155.7567,7872000,,1.9853999999999985,-0.1886000000000081,-0.1209398423678098,7.872,0.012731387223596981,-0.1209398423678098,,1.1679698511847356,15.878822844746738,50.54036198763842,-1.9203823318300477,4,0,1
